eur	mp	nrcamere	rap	title
80	96	3	833.333333333333	[213]Apartament cu 3 camere in zona Selgros
56	67	3	835.820895522388	[174]Zona linistita. Pregatit pentru centrala. Disponibil imediat.
42	50	2	840	[223]Centrala termica proprie. Izolat exterior.
85	101	4	841.584158415842	[164]Decomandat.Centrala proprie.
55	65	3	846.153846153846	[188]Girocului, decomandat
44	52	2	846.153846153846	[179]Vand ap 2 cam 52mp,Zona Traian,etaj 1, centrala gaz
85	100	4	850	[193]Etaj 1. Decomandat. Amenajat complet
68	80	4	850	[223]MODEL SPATIOS. Etaj intermediar.
57.9	68	2	851.470588235294	[179]Zona semicentrala, centrala termica proprie, amenajat
58	68	3	852.941176470588	[164]De vanzare apartament cu 3 camere, zona Dorobantilor
49.5	58	2	853.448275862069	[177]Apartamente cu 2 camere nou construite direct de la dezvoltator zona
61.5	72	3	854.166666666667	[193]3 camere Steaua, mobilat si utilat
59	69	3	855.072463768116	[198]Ocazie, Soarelui, decomandat
38.5	45	2	855.555555555556	[198]Girocului, 2 camere, constructie 2009
60	70	2	857.142857142857	[159]Zona Semicentrala, 2 camere in apropierea Colegiului National Banatean
36	42	2	857.142857142857	[188]Dacia ,2 camere, superoferta!
120	140	5	857.142857142857	[223]5 camere, Sinaia
64.5	75	3	860	[218]Lipovei , decomandat , 2 bai , 2 balcoane
56	65	3	861.538461538462	[159]Un imobil situat intr-o zona linistita..!
75	87	3	862.068965517241	[228]Iosefin,centrala,amenajari moderne
69	80	4	862.5	[164]OFERTA-4 camere,etaj intermediar,zona Aradului
64.762	75	2	863.493333333333	[203]De vanzare apartamente noi in Timisoara zona Lipovei - Comision 0%
47.5	55	2	863.636363636364	[203]Aradului-Est,2balcoane,etajintermediar
95	110	4	863.636363636364	[193]Apartament cu 5 camere modificat. Complet amenajat
44.999	52	2	865.365384615385	[174]OCAZIE! Apartament SPATIOS, BLOC NOU, tip vila. Bonus: PARCARE+MOBILA
77.899	90	4	865.544444444444	[213]Spatios , modern , mobilat si utilat
58	67	2	865.671641791045	[193]Apartamente direct de la dezvoltator!!!
65	75	3	866.666666666667	[188]LIPOVEI, APARTAMENT 3 CAMERE
118	136	5	867.647058823529	[188]Complex , 136mp , centrala , deccomandat
59	68	3	867.647058823529	[213]CIRCUMVALATIUNII - TERMOPANE - BALCON
87	100	4	870	[174]4 Camere, andrei şaguna, amenajat modern, etaj intermediar
74	85	4	870.588235294118	[174]Lipovei, decomandat, etaj intermediar
122	140	5	871.428571428571	[201]De vanzare apartament in Timisoara, spatios, langa Parcul Doina
41	47	2	872.340425531915	[228]Mobilat si utilat.Clima.Zona linistita
69.9	80	3	873.75	[159]Vanzare apartament 3 camere
180	206	5	873.78640776699	[203]Penthouse de lux, Parcare subterana, Zona linistita
77	88	4	875	[174]Apartament format din 4 camere spatioase si luminioase,situat in zona
70	80	2	875	[237]Sinaia,centrala,amenajat
50	57	2	877.19298245614	[164]Traian-Badea Cartan, centrala proprie, renovat
61.5	70	3	878.571428571429	[223]Calea Sagului, vedere pe trei parti, centrala termica proprie
58	66	2	878.787878787879	[188]Adora Forest: O locaţie privilegiată, în vecinătatea Pădurii Verzi
75	85	4	882.352941176471	[218]Spatios. Amenajat. Zona Buna
100	113	4	884.955752212389	[228]Dacia, etajul 4/10, 4 camere, deosebit
85	96	2	885.416666666667	[193]Apartament spatios in Complexul Studentesc
93	105	3	885.714285714286	[213]Spatios si luminos. La 5 minute de Catedrala
